City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
490,baker city,44.7749,-117.8344,276.99,81,0,0.0,US,1731390355
491,monte carmelo,-18.7247,-47.4986,294.77,84,100,1.82,BR,1731390356
492,buka,40.8108,69.1986,284.69,52,100,1.61,UZ,1731390358
493,isabela,6.7085,121.9711,305.18,75,51,0.94,PH,1731390359
494,qarazhal,48.0078,70.7903,263.33,87,25,2.73,KZ,1731390361
495,el calafate,-50.3408,-72.2768,280.51,80,17,4.23,AR,1731390362
496,kavaratti,10.5669,72.642,302.17,66,93,4.56,IN,1731390364
497,maamba,-17.3667,27.15,300.2,53,100,0.14,ZM,1731390365
498,turochak,52.2576,87.1224,267.2,76,99,5.09,RU,1731390366
499,juruti,-2.1522,-56.0922,299.56,69,98,1.43,BR,1731390368
500,mahalapye,-23.1041,26.8142,292.24,79,100,8.17,BW,1731390369
501,gamba,-2.65,10.0,298.34,89,100,4.02,GA,1731390372
502,lamu,-2.2717,40.902,302.03,70,24,3.17,KE,1731390373
503,dakhla,23.6848,-15.958,293.27,71,0,8.0,EH,1731390375
504,sangkhla buri,15.1555,98.4536,306.09,40,60,1.68,TH,1731390376
505,kulhudhuffushi,6.6221,73.07,301.55,71,30,3.85,MV,1731390377
506,auki,-8.7676,160.7034,302.21,71,93,0.32,SB,1731390379
507,sokoni,-6.4333,39.55,300.15,79,86,3.11,TZ,1731390380
508,belozersk,60.0326,37.7957,272.32,78,99,2.77,RU,1731390382
509,onokhoy,51.932,108.0747,272.08,64,92,1.5,RU,1731390383
510,zouerate,22.7187,-12.4521,293.97,16,9,3.33,MR,1731390384
511,aden,12.7794,45.0367,301.0,65,32,6.38,YE,1731390386
512,sicuani,-14.2694,-71.2261,283.5,78,86,2.13,PE,1731390387
513,severo-yeniseyskiy,60.3725,93.0408,260.32,85,98,3.55,RU,1731390388
514,torghay,49.6339,63.4981,269.36,73,7,2.32,KZ,1731390390
515,havre,49.5833,0.3333,283.02,87,75,8.23,FR,1731390391
516,arklow,52.7931,-6.1414,280.82,85,76,3.06,IE,1731390393
517,port blair,11.6667,92.75,302.17,84,75,2.57,IN,1731390394
518,morococha,-11.5997,-76.1411,272.71,98,100,0.79,PE,1731390395
519,iguai,-14.7564,-40.0892,293.36,97,72,0.28,BR,1731390397
520,orkney,-26.9802,26.6727,292.77,69,100,7.25,ZA,1731390398
521,pisco,-13.7,-76.2167,290.18,88,0,3.6,PE,1731390400
522,sirjan,29.452,55.6814,292.14,23,1,2.66,IR,1731390129
